Doctor ID,Doctor Name,Doctor Score,Scoliosis Type
1,Dr Neal G. Ranen York PA ,5.0,dextroscoliosis
2,Dr K. Todd Foreman Huntsville AL ,5.0,levoscoliosis
3,Dr Olasimbo M. Babatope Kennesaw GA ,3.0,kyphosis
4,dr michelle hagel calgary ab ca,4.5,idiopathic
6,Dr Kendra Brough Cambridge ON ,5.0,juvenile
7,Dr John A. SKIENDZIELEWSKI Prince Frederick MD ,5.0,lordosis
8,dr jennifer shoquist fountain valley ca us,4.75,adolescent
9,Dr GEORGE AMYRADAKIS Winter Park FL ,4.0,adult
10,Dr Carolyn E. Donovan Boston MA ,5.0,dextroscoliosisstructuralcompensatory
11,Dr Vincent J. BILELLO Glendale NY ,4.25,dextroscoliosisfunctional
12,Dr DEEPINDER K. ARORA Little Silver NJ ,3.5,dextroscoliosislevoscoliosisneuromuscular
14,dr julian cano nd msac paramus nj us,4.5,dextroscoliosis
15,Dr Isaiah Day Red Deer AB ,3.5,levoscoliosis
16,Dr Elizabeth Whitaker Atlanta GA ,5.0,kyphosis
17,dr peter kim md costa mesa ca us,4.75,idiopathic
18,Dr JOHN KONG KEW GARDENS NY ,5.0,infantile
19,Dr Chaim B. Colen Petoskey MI ,4.75,juvenile
20,Dr Phil Shedletsky Toronto ON ,4.0,lordosis
21,Dr Robert S. Marks Austin TX ,4.0,adolescent
22,Dr Richard Ostrup San Diego CA ,4.0,adult
26,dr yi ding yuan montreal qc ca,4.0,compensatory
27,Dr Alberto M. Maldonado Molina LAKELAND FL ,5.0,dextroscoliosis
28,Dr RICHARD S. SQUIRES Takoma Park MD ,5.0,levoscoliosis
29,Dr ANA M. Duarte Miami FL ,4.25,kyphosis
30,Dr JEFFERY K. BRESSMAN Glenview IL ,4.75,idiopathic
31,Dr J Monash Tucson AZ ,5.0,infantile
32,Dr Mark SORENSEN Newton MA ,5.0,juvenile
33,dr neelam sandhu calgary ab ca,4.75,lordosis
34,Dr Diana Chavkin Brooklyn NY ,5.0,adolescent
36,Dr Clarel Antoine New York NY ,4.5,dextroscoliosisstructuralcompensatory
37,Dr CHRISTOPHER E. ADAMS Iowa City IA ,5.0,dextroscoliosisfunctional
38,Dr Bernard G. Kirol Columbia SC ,4.5,dextroscoliosislevoscoliosisneuromuscular
39,Dr SUJITH J. KALATHIVEETIL Naperville IL ,4.0,compensatory
40,Dr Carlos R. Hamilton Sugar Land TX ,4.5,dextroscoliosis
41,Dr GERSHON Y. PERRY Chattanooga TN ,4.0,levoscoliosis
42,Dr Shirley Cheong Toronto ON ,4.0,kyphosis
43,BRIAN M. SALAZAR NEW YORK NY ,4.0,idiopathic
44,Dr Sumit Grover Amherst NY ,3.75,infantile
45,Dr Stephen P. Coppa Bradenton FL ,3.75,juvenile
46,Dr Anne M. Favret Fairfax VA ,2.25,lordosis
47,Dr Rafael W. Blanco Tampa FL ,3.0,adolescent
48,Anna Zhang Notre Dame De Grace QC ,5.0,adult
49,Dr JOSEPH LUZZO Yardley PA ,5.0,dextroscoliosisstructuralcompensatory
50,Dr IGOR CHERNYAVSKIY Brooklyn NY ,5.0,dextroscoliosisfunctional
51,Dr Tassos Irinakis Vancouver BC ,5.0,dextroscoliosislevoscoliosisneuromuscular
53,Dr JOHN E. BARTSCH Cincinnati OH ,5.0,dextroscoliosis
54,Dr STEFANIE M. DIAZ Tyler TX ,5.0,levoscoliosis
56,Dr Gabriela Ghitulescu Montreal QC ,1.25,idiopathic
57,Dr Pamela Wigle London ON ,4.0,infantile
58,Dr Maher Obeid Burlington ON ,5.0,juvenile
60,dr michael sheth pasadena nh us,5.0,adolescent
61,dr lauren v halvorson laurel md us,5.0,adult
62,Dr HOLMAN CHAN HENDERSON NV ,4.0,dextroscoliosisstructuralcompensatory
63,Dr Catalin G. Marinescu Newport Beach CA ,4.0,dextroscoliosisfunctional
66,Dr Anna Kearns Vancouver BC ,4.5,dextroscoliosis
67,Dr JOSEPH A. CONTE Orlando FL ,4.0,levoscoliosis
68,Dr Eugene George Rent MANGALORE KA ,4.75,kyphosis
69,Dr Magdy K. Iskander SHARON PA ,4.5,idiopathic
71,Dr Eli Rosenberg North Vancouver BC ,4.75,juvenile
72,Dr Vivek Cheba Red Deer AB ,5.0,lordosis
73,Dr Laura Senator Bridgewater NJ ,4.75,adolescent
74,Dr MONINA F. PASCUA Oregon City OR ,1.0,adult
75,Dr Richard A. Bernstein New Haven CT ,4.75,dextroscoliosisstructuralcompensatory
76,Dr EMILY HILL BOWMAN Omaha NE ,5.0,dextroscoliosisfunctional
77,Dr Robert E. Rothfield Weston FL ,5.0,dextroscoliosislevoscoliosisneuromuscular
78,Dr Charlotte M. Agnone Marysville OH ,3.0,compensatory
80,Dr DANIEL E. STONE Phoenix AZ ,5.0,levoscoliosis
81,Dr AMY J. IRWIN Fairfax VA ,4.0,kyphosis
82,Dr Julie M. Pena Franklin TN ,4.0,idiopathic
83,Dr Paul Z. Bodnar Towson MD ,4.0,infantile
84,dr sumit jhas mississauga on ca,4.0,juvenile
85,Dr VIJAYKUMAR RAO South Holland IL ,4.0,lordosis
86,Dr SALONI SHARMA PHILADELPHIA PA ,5.0,adolescent
87,Dr David Jayakar Longview TX ,4.0,adult
88,Dr Michael Song Reno NV ,4.5,dextroscoliosisstructuralcompensatory
89,ashley knutson new york ny us,5.0,dextroscoliosisfunctional
90,Dr GORDON M. CASTLEBERRY Starkville MS ,4.5,dextroscoliosislevoscoliosisneuromuscular
91,Dr JOHN PANZONE BRONX NY ,5.0,compensatory
93,Dr Robert J. ESTRADA Orlando FL ,5.0,levoscoliosis
94,Dr Megan Harris Edmonton AB ,4.0,kyphosis
95,Dr Colin Hobson Fort Saskatchewan AB ,5.0,idiopathic
96,Dr VINEETA J. PATHAK Toms River NJ ,4.0,infantile
97,Dr Scott E. Silverman Bradenton FL ,5.0,juvenile
98,CARMEN B. LACKETT COLORADO SPRINGS CO ,5.0,lordosis
99,Dr Elsa Thomas Boston MA ,4.25,adolescent
100,Dr DANIELLE E. LANE Novato CA ,5.0,adult
101,Dr Emily J. Yu Columbus OH ,3.25,dextroscoliosisstructuralcompensatory
102,Dr MAKEPEACE B. CHARLES Palm Beach Gardens FL ,4.5,dextroscoliosisfunctional
103,"Donna Tabas, CNM, M.S. Union City NJ ",5.0,dextroscoliosislevoscoliosisneuromuscular
104,Dr AMY M. Guzek Chandler AZ ,4.0,compensatory
105,Dr Carolyn Alexander Los Angeles CA ,4.0,dextroscoliosis
106,dr jesse slade shantz indianapolis in us,4.75,levoscoliosis
108,dr tehnia aziz edmonton ab ca,2.75,idiopathic
111,Dr TARAL R. SHARMA Salem VA ,5.0,lordosis
112,Dr ANDREW J. WEBER O_apos_Fallon MO ,5.0,adolescent
114,Dr Christopher Weiss Dumont NJ ,4.75,dextroscoliosisstructuralcompensatory
115,Sophya Itskovich Burnaby BC ,3.75,dextroscoliosisfunctional
117,Dr Howard Silverman Ottawa ON ,4.75,compensatory
118,dr harry f lardner hillsborough nc us,5.0,dextroscoliosis
119,Dr Angelo R. Consiglio Marathon FL ,4.0,levoscoliosis
120,Dr Tahera Azharuddin Windsor ON ,4.0,kyphosis
121,Dr David Dowe Comox BC ,4.0,idiopathic
122,Dr Elena Grinevitch Montreal QC ,5.0,infantile
123,Dr Hussein Fadlallah Montreal QC ,4.75,juvenile
124,Dr Leila H. Zackrison Fairfax VA ,3.0,lordosis
125,Dr Jean Francois Yale Montreal QC ,4.5,adolescent
126,dr sudipto modak md kolkata wb in,4.0,adult
127,dr sara barton ccrm lone tree co us,5.0,dextroscoliosisstructuralcompensatory
129,Dr NICOLE D. SUNDENE FOUNTAIN HILLS AZ ,4.0,dextroscoliosislevoscoliosisneuromuscular
130,Dr JONATHAN P. PETERSON Payson UT ,4.75,compensatory
131,dr stephanie pylypko ashburn va us,4.0,dextroscoliosis
132,Dr Tod Pelly North Vancouver BC ,5.0,levoscoliosis
133,Dr Noor Amin Mississauga ON ,5.0,kyphosis
135,Dr KUMAR T. VADIVEL Carrollton TX ,4.0,infantile
137,Dr Frank P. Fechner WORCESTER MA ,4.75,lordosis
138,MEILEE FIELDS PEORIA AZ ,2.75,adolescent
140,Dr ASHOKA SUBEDAR Bellingham WA ,5.0,dextroscoliosisstructuralcompensatory
141,Dr Alexandra Blanchet Quebec QC ,5.0,dextroscoliosisfunctional
